Year,Water content measured (ppm),Total Acid Number (mgKOH/ g),"BreakdownVoltage (kV)",Dissipation Factor ,Colour,Interfacial Tension (mN/m),Class
2007,1,0.005,81,0.039,0,32,G
2006,4,0.005,91,0.09,0,32,G
2002,2,0.005,81,0.007,0,32,G
2006,1,0.005,66,0.008,0,32,G
2006,6,0.005,97,0.006,0,32,G
2008,2,0.005,74,0.002,0,32,G
2009,6,0.013,99.4,0.004,0,32,G
2006,4,0.005,78,0.002,0,32,G
2006,6,0.005,61,0.002,0,32,G
2006,5,0.005,77,0.001,0,32,G
2006,10,0.005,75,0.002,0,32,G
2006,6,0.005,91,0.007,0,32,G
2006,5,0.005,93,0.003,0,32,G
2006,2,0.005,80,0.001,1,32,G
2006,6,0.005,83,0.007,0,32,G
2006,4,0.005,66,0.001,0,32,G
2006,7,0.005,90,0.002,0,32,G
2006,6,0.005,68,0.001,0,32,G
2004,4,0.005,67,0.014,0,33,G
2004,9,0.005,72,0.003,0,33,G
2010,4,0.005,96.4,0.002,0,33,G
1997,11,0.005,92.9,0.004,0,33,G
1997,10,0.014,70,0.003,0,33,G
1997,8,0.005,88,0.007,0,33,G
1997,7,0.005,59,0.003,0,33,G
1997,21,0.005,87.6,0.002,0,33,G
2004,5,0.013,90.3,0.006,0,33,G
2006,6,0.005,58,0.005,0,33,G
2006,2,0.005,70,0.009,0,33,G
2006,1,0.005,94,0.006,0,33,G
2005,2,0.005,54,0.002,1,33,G
2006,10,0.005,76,0.006,0,33,G
2007,2,0.005,75,0.005,0,33,G
2007,2,0.005,82,0.002,0,33,G
2006,9,0.005,93,0.004,0,33,G
2006,8,0.005,83,0.006,0,33,G
2006,5,0.005,86,0.005,0,33,G
2009,1,0.005,91,0.003,0,33,G
2005,4,0.005,93,0.002,0,33,G
2005,3,0.005,85.4,0.002,1,33,G
2008,4,0.005,81,0.049,0,33,G
2005,2,0.005,86,0.007,0,33,G
2009,1,0.005,42,0.002,0,33,G
2008,1,0.005,97,0.002,0,33,G
2003,4,0.005,89,0.004,0,33,G
2003,7,0.005,87.5,0.003,0,33,G
2004,3,0.03,61,0.003,1,33,G
2005,4,0.01,47,0.003,0,33,G
2008,1,0.005,69,0.003,0,33,G
2008,2,0.005,74,0.002,0,33,G
2005,1,0.005,91,0.003,0,33,G
2004,1,0.005,73,0.002,1,33,G
2009,10,0.005,68,0.005,0,33,G
2008,10,0.005,84,0.035,0,33,G
2005,4,0.005,71,0.009,1,33,G
2005,2,0.005,66,0.002,1,33,G
2005,3,0.005,72,0.002,1,33,G
2008,4,0.005,51,0.001,0,33,G
2008,5,0.005,91.9,0.002,0,33,G
2008,9,0.005,74,0.002,0,33,G
2007,4,0.005,80,0.002,0,33,G
2002,4,0.005,84,0.014,0,33,G
2006,5,0.005,77,0.003,0,33,G
2006,3,0.005,67,0.002,0,33,G
2006,3,0.005,95.5,0.003,0,33,G
2009,1,0.005,86.9,0.004,0,33,G
2008,9,0.005,78,0.004,0,33,G
2009,5,0.005,69,0.027,0,33,G
2006,1,0.005,84,0.022,0,33,G
2006,1,0.005,57,0.013,0,33,G
2006,2,0.005,83,0.03,0,33,G
2008,1,0.005,78,0.006,0,33,G
2006,8,0.005,53,0.002,1,33,G
2006,4,0.005,86,0.003,0,33,G
2006,5,0.005,86,0.002,0,33,G
2006,3,0.005,83,0.002,0,33,G
2006,4,0.005,88.1,0.001,0,33,G
2006,5,0.005,89,0.005,0,33,G
2006,8,0.005,57,0.002,0,33,G
2006,5,0.005,78,0.001,0,33,G
2006,6,0.005,50,0.002,1,33,G
2006,3,0.005,65,0.001,0,33,G
2006,6,0.005,87.6,0.003,0,34,G
2006,5,0.005,88,0.086,0,34,G
2006,4,0.005,95,0.035,0,34,G
2003,2,0.005,77,0.011,0,34,G
2010,8,0.005,90.9,0.003,0,34,G
2006,6,0.005,66,0.003,0,34,G
2004,7,0.005,67,0.007,0,34,G
2006,6,0.005,72,0.006,0,34,G
2006,3,0.005,85.2,0.004,0,34,G
2006,3,0.005,94,0.004,0,34,G
2006,1,0.005,82,0.023,0,34,G
2006,12,0.005,63,0.013,0,34,G
2008,4,0.005,87,0.001,0,34,G
2007,1,0.005,65,0.004,0,34,G
2005,3,0.005,69,0.001,0,34,G
2007,6,0.005,82,0.003,0,34,G
2007,3,0.005,61,0.002,0,34,G
2010,1,0.005,83,0.001,0,34,G
2005,6,0.005,91,0.001,0,34,G
2005,3,0.005,87,0.002,0,34,G
2005,7,0.005,88.4,0.003,1,34,G
2003,1,0.005,88,0.01,0,34,G
2003,6,0.005,88,0.01,0,34,G
2005,5,0.005,91.2,0.001,0,34,G
2011,5,0.005,63,0.008,0,34,G
2008,3,0.005,78,0.003,0,34,G
2008,4,0.005,60,0.002,0,34,G
2008,2,0.005,66,0.002,0,34,G
2010,10,0.005,58,0.007,0,34,G
2005,4,0.005,80,0.001,0,34,G
2004,6,0.01,74,0.004,1,34,G
2006,3,0.005,83,0.004,0,34,G
2006,5,0.011,83,0.007,0,34,G
2007,1,0.005,73,0.004,0,34,G
2006,2,0.005,85,0.004,0,34,G
2006,6,0.005,71,0.003,0,34,G
2006,2,0.005,65,0.003,0,34,G
2006,1,0.005,84,0.003,0,34,G
2006,6,0.005,79,0.002,0,34,G
2006,5,0.005,83.9,0.002,0,34,G
2006,1,0.005,70,0.023,0,34,G
2006,6,0.005,56,0.045,0,34,G
2006,1,0.005,70,0.002,0,34,G
2006,2,0.005,95,0.005,0,34,G
2006,5,0.005,93,0.003,0,34,G
2006,3,0.005,67,0.002,0,34,G
2006,4,0.005,75,0.001,0,34,G
2006,7,0.005,95.4,0.002,0,34,G
2006,2,0.005,92,0.003,0,34,G
2006,7,0.005,71,0.003,0,34,G
2006,7,0.005,93.5,0.009,0,34,G
2006,4,0.005,63.3,0.003,0,35,G
2008,1,0.005,78,0.002,0,35,G
2008,3,0.005,82,0.004,0,35,G
2008,3,0.005,77,0.001,0,35,G
2009,4,0.005,50,0.003,0,35,G
2009,2,0.005,64,0.002,0,35,G
2009,6,0.005,59,0.003,0,35,G
2008,4,0.005,78,0.001,0,35,G
2008,5,0.005,94,0.001,0,35,G
2008,7,0.005,70,0.001,0,35,G
2011,5,0.005,40,0.003,0,35,G
2005,5,0.005,73,0.002,0,35,G
2009,1,0.005,87,0.004,0,35,G
2008,1,0.005,94,0.003,0,35,G
2009,7,0.014,76,0.003,0,35,G
2005,2,0.005,81,0.005,0,35,G
2011,5,0.005,51,0.008,0,35,G
2011,4,0.005,63,0.005,0,35,G
2006,4,0.005,81,0.002,0,35,G
2006,5,0.005,84.2,0.002,0,35,G
2005,9,0.005,50,0.002,0,35,G
2008,1,0.005,92,0.003,0,35,G
2006,5,0.005,86,0.19,0,35,G
2011,14,0.005,76,0.005,0,35,G
2005,6,0.005,57,0.001,0,35,G
2010,18,0.005,53,0.003,0,35,G
2010,16,0.005,83.6,0.005,0,35,G
2006,1,0.005,81,0.043,0,35,G
2008,6,0.005,67,0.002,0,35,G
2006,3,0.005,73,0.006,0,35,G
2006,10,0.005,98.5,0.003,0,35,G
2006,8,0.005,80.3,0.005,0,35,G
2006,3,0.005,53,0.003,0,35,G
2008,1,0.005,82,0.006,0,35,G
2009,4,0.005,93,0.003,0,36,G
2005,5,0.005,82,0.004,0,36,G
2006,3,0.005,68,0.003,0,36,G
2008,6,0.005,60,0.002,0,36,G
2006,11,0.005,78.2,0.009,0,36,G
2008,1,0.005,94,0.002,0,36,G
2008,5,0.005,81,0.002,0,36,G
2008,5,0.005,94,0.003,0,36,G
2009,9,0.005,98,0.003,0,36,G
2009,1,0.005,67,0.003,0,36,G
2008,3,0.005,77,0.001,0,36,G
2009,1,0.005,86,0.002,0,36,G
2009,6,0.005,81,0.004,0,36,G
2009,5,0.005,68,0.003,0,36,G
2010,1,0.005,38,0.03,0,36,G
2009,7,0.005,59,0.004,0,36,G
2009,7,0.005,80.9,0.005,0,36,G
2005,8,0.005,93.7,0.001,0,36,G
2010,8,0.005,89.4,0.002,0,36,G
2008,2,0.005,83,0.03,0,36,G
2008,1,0.005,32,0.036,0,36,G
2006,7,0.005,53,0.007,0,36,G
2011,9,0.005,84.9,0.003,0,36,G
2008,2,0.005,87,0.005,0,36,G
2008,5,0.005,80,0.002,0,36,G
2011,9,0.005,64,0.006,0,36,G
2001,3,0.011,86,0,0,36,G
2006,3,0.005,83,0.004,0,36,G
2006,7,0.005,90,0.013,0,36,G
2007,2,0.005,79,0.011,0,36,G
2007,5,0.005,68,0.003,0,36,G
2007,4,0.005,77,0.005,0,36,G
2010,6,0.005,85.4,0.003,0,36,G
2010,4,0.005,86.1,0.003,0,36,G
2006,9,0.005,43,0.038,0,37,G
2009,3,0.005,68,0.003,0,37,G
2009,2,0.005,87.3,0.003,0,37,G
2008,8,0.005,67,0.002,0,37,G
2008,7,0.005,77,0.004,0,37,G
2008,6,0.005,81,0.001,0,37,G
2008,1,0.005,84,0.001,0,37,G
2006,1,0.005,59,0.003,0,37,G
2009,4,0.005,68,0.004,0,37,G
2009,8,0.005,85,0.003,0,37,G
2010,2,0.005,66,0.001,0,37,G
2009,3,0.005,85,0.021,0,37,G
2009,6,0.005,73,0.002,0,37,G
2009,10,0.005,72,0.003,0,37,G
2008,14,0.005,67,0.001,0,37,G
2008,16,0.005,84.5,0.001,0,37,G
2008,8,0.005,82.3,0.002,0,37,G
2008,8,0.005,50,0.001,0,37,G
2009,6,0.005,98.7,0.002,0,37,G
2009,3,0.005,91.4,0.003,0,37,G
2010,1,0.005,92,0.001,0,37,G
2005,5,0.005,55,0.005,0,37,G
2005,5,0.005,82,0.001,0,37,G
2011,9,0.005,50,0.002,0,37,G
2011,8,0.005,56,0.002,0,37,G
2010,4,0.005,92,0.001,0,37,G
2007,3,0.005,80,0.01,0,37,G
2007,7,0.005,89,0.005,0,37,G
2008,13,0.005,65,0.001,0,37,G
2008,9,0.005,67,0.003,0,37,G
2011,8,0.005,52,0.003,0,37,G
2010,6,0.005,65,0.001,0,37,G
2011,4,0.005,57,0.002,0,37,G
2001,7,0.013,83,0.004,0,37,G
2006,9,0.005,87,0.004,0,37,G
2006,7,0.005,74,0.005,0,37,G
2008,1,0.005,79,0.036,0,37,G
2009,5,0.005,67,0.003,0,37,G
2009,5,0.005,92.2,0.003,0,37,G
2006,5,0.005,79.2,0.003,0,37,G
2006,7,0.005,77,0.003,0,37,G
2009,5,0.005,88.4,0.003,0,38,G
2008,11,0.005,52,0.004,0,38,G
2009,3,0.005,51,0.003,0,38,G
2009,2,0.005,90,0.009,0,38,G
2008,9,0.005,90,0.005,0,38,G
2008,5,0.005,76,0.003,0,38,G
2009,4,0.005,78,0.003,0,38,G
2009,10,0.005,55,0.003,0,38,G
2009,6,0.005,59,0.003,0,38,G
2009,6,0.005,79,0.005,0,38,G
2009,2,0.005,87,0.004,0,38,G
2010,3,0.005,70.2,0.001,0,38,G
2007,3,0.005,58,0.001,0,38,G
2010,4,0.005,99.5,0.001,0,38,G
2001,9,0.005,76,0.005,0,38,G
2005,7,0.005,73,0.002,0,38,G
2006,6,0.005,81,0.02,0,38,G
2008,3,0.005,69,0.003,0,38,G
2006,10,0.005,97,0.001,0,38,G
2009,2,0.005,94,0.005,0,38,G
2008,1,0.005,71,0.006,0,38,G
2008,6,0.005,83,0.006,0,38,G
2008,7,0.005,68,0.004,0,38,G
2008,7,0.005,87.3,0.003,0,38,G
2008,4,0.005,54,0.001,0,39,G
2008,1,0.005,92,0.003,0,39,G
2009,5,0.013,63,0.003,0,39,G
2009,3,0.005,72,0.004,0,39,G
2006,4,0.005,84,0.003,0,39,G
2006,4,0.011,82.7,0.002,0,39,G
2006,5,0.005,94.4,0.001,0,39,G
2008,1,0.005,87,0.013,0,39,G
2008,1,0.005,86,0.003,0,39,G
2008,5,0.005,75,0.002,0,39,G
2008,6,0.005,65,0.001,0,39,G
2006,6,0.005,83,0.001,0,39,G
2008,8,0.005,69,0.001,0,39,G
2008,7,0.005,92.6,0.001,0,39,G
2009,4,0.005,88,0.003,0,39,G
2009,5,0.005,61,0.003,0,39,G
2010,1,0.005,48,0.024,0,39,G
2009,8,0.005,85,0.006,0,39,G
2008,9,0.005,60,0.002,0,39,G
2009,5,0.005,84,0.002,0,39,G
2001,5,0.005,59,0.004,1,39,G
2007,3,0.005,84,0.047,0,39,G
2007,1,0.005,83,0.016,0,39,G
2007,10,0.005,58,0.001,0,39,G
2008,2,0.005,83,0.02,0,39,G
2008,5,0.005,63,0.002,0,39,G
2009,5,0.005,94,0.003,0,39,G
2009,10,0.005,37,0.004,0,39,G
2006,2,0.015,88,0.002,0,39,G
2006,3,0.005,87.2,0.001,0,39,G
2008,5,0.005,50,0,0,40,G
2008,6,0.005,51,0,0,40,G
2008,1,0.005,76,0.003,0,40,G
2009,3,0.005,78,0.002,0,40,G
2009,7,0.005,51,0.004,0,40,G
2006,2,0.012,58,0.001,0,40,G
2010,5,0.005,64,0.003,0,40,G
2006,3,0.005,86,0.008,0,40,G
2008,3,0.005,53,0.002,0,40,G
2009,4,0.005,95,0.007,0,40,G
2009,3,0.005,84,0.004,0,40,G
2009,1,0.005,84,0.007,0,40,G
2009,2,0.005,68,0.003,0,40,G
2008,2,0.005,62,0.002,0,40,G
2009,8,0.005,78.9,0.004,0,40,G
2005,1,0.005,75,0.003,1,40,G
2007,5,0.005,76,0.001,0,40,G
2008,3,0.005,86,0.002,0,40,G
2008,9,0.005,79,0.004,0,40,G
2008,4,0.005,72,0.003,0,40,G
1976,3,0.005,51,0.008,1,40,G
2009,6,0.011,90.2,0.003,0,40,G
2008,9,0.005,51,0.001,0,40,G
2006,1,0.005,80,0.006,0,40,G
2006,1,0.005,84.4,0.002,0,40,G
1976,6,0.005,66,0.005,1,41,G
2009,6,0.005,90.7,0.003,0,41,G
2009,4,0.005,66,0.003,0,41,G
2009,6,0.005,55,0.004,0,41,G
2006,4,0.005,85,0.001,0,41,G
2010,5,0.005,55,0.003,0,41,G
2010,2,0.005,78,0.002,0,41,G
2006,1,0.005,90,0.002,0,41,G
2006,6,0.005,76,0.001,0,41,G
2006,5,0.005,70,0.001,0,41,G
2008,6,0.005,71,0.003,0,41,G
2008,9,0.012,52,0.004,0,41,G
2009,7,0.005,83,0.002,0,41,G
2009,3,0.005,82,0.013,0,41,G
2009,1,0.005,87,0.009,0,41,G
2010,2,0.015,79.7,0.001,0,41,G
2008,1,0.005,51,0.003,0,41,G
2008,3,0.005,76,0.002,0,41,G
2009,3,0.005,74,0.004,0,41,G
2009,17,0.005,87,0.002,0,41,G
2008,2,0.005,93.4,0.003,0,41,G
2009,1,0.005,68,0.001,0,41,G
2009,3,0.005,70,0.001,0,41,G
2006,5,0.005,95.5,0.001,0,41,G
2006,4,0.005,88,0.001,0,41,G
2006,6,0.005,79,0.001,0,41,G
2006,5,0.005,60,0.002,0,41,G
2006,2,0.005,96,0.001,0,41,G
2010,4,0.005,79,0.001,0,42,G
2010,3,0.005,74,0.002,0,42,G
2010,2,0.005,65,0.001,0,42,G
2009,4,0.005,86,0.004,0,42,G
2010,8,0.005,68,0.002,0,42,G
2010,6,0.005,54,0.001,0,42,G
1976,1,0.005,77,0.005,1,42,G
2008,4,0.005,59,0.001,0,42,G
2006,3,0.005,61,0.002,0,42,G
2006,2,0.005,91.6,0.002,0,42,G
2006,9,0.005,54,0.003,0,42,G
2006,2,0.005,87,0.001,0,42,G
2006,3,0.005,99,0.001,0,42,G
2006,2,0.005,92.3,0.002,0,42,G
2009,3,0.005,77,0.002,0,43,G
2006,6,0.005,67,0.001,0,43,G
2006,2,0.005,90.3,0.003,0,43,G
2006,3,0.005,78,0.003,0,43,G
2006,2,0.005,84,0.001,0,43,G